cust_code,cust_name,address1,city1,state1,country1,pincode1,address2,city2,state2,country2,pincode2
C101,Lon Swinburn,Suite 75,Quemú Quemú,Rhode Island,Mexico,13579,Apt 450,Canmang,Kentucky,France,67890
C102,Bianca Niccols,Room 1582,Colmar,Rhode Island,United Kingdom,54321,10th Floor,Bagroy,Virginia,Japan,13579
C103,Karney Cuddy,Apt 1323,Sandymount,Mississippi,Germany,67890,Apt 1055,Gyangqai,Arkansas,Australia,12345
C104,Wynnie Dyka,12th Floor,Pensacola,Nebraska,France,09876,PO Box 52656,Wucun,Minnesota,Canada,12345
C105,Mariele Fludder,Room 909,Tanjungpati,New Hampshire,China,13579,Suite 42,Bedford,North Dakota,Brazil,54321
C106,Pearl Colquhoun,Suite 86,Huruta,Utah,Japan,09876,Suite 30,Pueblo Nuevo,Hawaii,Australia,54321
C107,Elita Conkling,Suite 68,Huanglong,Hawaii,China,13579,Room 1809,Nynäshamn,Delaware,Japan,67890
C108,Jule Stirzaker,Room 961,Jönköping,Oregon,United States,13579,Suite 10,Quimistán,Nebraska,India,67890
C109,Ynez De Giovanni,Room 125,Jangkat,New Mexico,China,12345,7th Floor,Münster,North Dakota,Mexico,54321
C110,Meredithe O'Gready,Suite 63,Chernomorets,New Jersey,Japan,12345,7th Floor,Gerdu,Georgia,Australia,09876
C111,Angelique Randerson,Suite 65,Wenfu,Missouri,Germany,67890,11th Floor,Blagodarnyy,Maryland,Mexico,54321
C112,Anna-diane Puzey,Suite 37,Göteborg,Missouri,France,54321,Room 755,Majiao,Missouri,Canada,67890
C113,Duke Dey,Room 366,Kipushi,Maryland,Australia,67890,Suite 25,Jianfeng,Indiana,Canada,54321
C114,Audrie Letixier,Suite 50,Jaqué,Arkansas,Mexico,13579,Room 1757,Yalagüina,Connecticut,Canada,13579
C115,Nelia Parcells,Room 994,Camp Flora,Minnesota,Germany,67890,PO Box 45481,Korogan Timur,New Jersey,United States,12345
C116,Cornelle Endean,Apt 1033,Casal,Kansas,Brazil,67890,1st Floor,Abaetetuba,Colorado,Australia,67890
C117,Luise Sand,Suite 69,Tabug,Montana,Canada,13579,Room 159,Tamandaré,Indiana,United States,13579
C118,Kippar Blinco,PO Box 11359,Farasān,Pennsylvania,Germany,12345,8th Floor,Jakšić,Georgia,Australia,09876
C119,Annalise Forrest,9th Floor,Opol,Wisconsin,Brazil,12345,Room 1879,Bīr Zayt,Maryland,France,12345
C120,Linnea Badwick,Apt 566,Rogoźnik,Idaho,United States,12345,Suite 52,Qianjiang,Alaska,Japan,09876
C121,Stacy Cully,Room 1039,Pathum Thani,Connecticut,Japan,67890,Room 60,Tak,Louisiana,Canada,54321
C122,Marcellina Bredgeland,Apt 35,Chicoana,North Dakota,Australia,09876,PO Box 16997,Pará de Minas,Alabama,Brazil,13579
C123,Keefer Willock,Suite 51,Hongping,Kansas,Germany,12345,PO Box 42639,Jianping,Alabama,Australia,09876
C124,Marilee Monksfield,Room 1746,Montecristi,Alaska,France,09876,13th Floor,Washington,Connecticut,Mexico,09876
C125,Merna McVey,Apt 462,Benito Juarez,Hawaii,Germany,09876,PO Box 12636,Odivelas,Pennsylvania,Canada,67890
C126,Jone Tumini,1st Floor,Kende,North Carolina,Canada,13579,Room 50,Villa Alemana,Oregon,United Kingdom,09876
C127,Bernadina Fassmann,Suite 43,Laizhou,Massachusetts,United Kingdom,67890,4th Floor,Minggang,Missouri,France,12345
C128,Barrett Williamson,4th Floor,Laval,Illinois,United States,12345,Apt 115,Jianchang,New Jersey,Canada,13579
C129,Jobey Andrea,Room 1342,Monteiro,Colorado,Brazil,67890,PO Box 7161,La Palma,California,Mexico,13579
C130,Lanie Rummins,Room 42,San Francisco,Virginia,France,12345,Apt 584,Áyios Nikólaos,Delaware,United States,54321
C131,Aubry Hobson,15th Floor,Santi Suk,West Virginia,United States,54321,Room 389,Sankt Andrä-Höch,Nebraska,Brazil,67890
C132,Ced Streeter,PO Box 98209,Sedatiagung,New Mexico,United States,13579,Room 696,Hikkaduwa,Virginia,Japan,54321
C133,Cinnamon Santora,Room 142,Fukuechō,Georgia,United States,12345,Apt 1156,Thị Trấn Mỹ Lộc,Missouri,France,09876
C134,Rickert Newrick,Suite 68,Guicheng,Pennsylvania,Japan,54321,PO Box 40171,Akbarābād,Oklahoma,Canada,09876
C135,Fianna Ivic,Apt 1785,Liangshan,New Hampshire,Japan,09876,Room 100,Sidowayah Lor,Iowa,Germany,54321
C136,Vivian Rutter,Room 1969,San Vicente,North Dakota,Germany,67890,2nd Floor,Kolodenka,Idaho,United States,12345
C137,Candice Bollon,PO Box 56760,Orleans,Michigan,Mexico,13579,Room 378,Biaokou,Maine,Mexico,12345
C138,Gusella Pattillo,PO Box 18600,Kara Suu,Oregon,Canada,12345,PO Box 2535,Mont-Royal,New York,France,54321
C139,Gleda Tweedie,Suite 23,Brikama,Alabama,United Kingdom,09876,12th Floor,El Quebrachal,New Hampshire,India,09876
C140,Pamela Yockney,Room 652,Phunphin,Kentucky,United Kingdom,09876,16th Floor,Agassiz,Wyoming,Japan,13579
C141,Randy Pierpoint,9th Floor,Mshinskaya,Tennessee,Mexico,09876,Suite 66,Zharkent,Nevada,Japan,12345
